School Name,Address,Region,Cluster
الحاج أبوبكر  أ . م سيسى,باكوتي,1,1
محمد الأمين جاسي,باكوتي,1,1
مدرسة عمار بن ياسر ,باكوتي,1,1
دار الآثار الإسلامية ,باكوتي ,1,1
التعاون الإسلامية ,بانجول,1,1
المدرسة الإسلامية العليا,بانجول,1,1
الفرقان ,بكاو,1,1
عمر بن عبد العزيز ,منجاي,1,1
معهد أبوبكر الصديق,باكاو,1,1
طارق بن  زياد,بكاو,1,1
داود عبدالله انجاي ,بكاوماما كوتو,1,1
محمد بشير سيكان الإسلامية,جوسوان جديد,1,1
علي بن أبي طالب ,ديبا كندا,1,1
الهدى الإسلامية ,بيبلان,1,1
كانفن جنوب,كانفغ,1,1
معهد النور الإسلامي ,كانفنع,1,1
معهد عمر عبد العزيز,كانفنع,1,1
معهد محمد يدالي الإنجليزي العربي,كانفنع,1,1
الإمام مالك الإسلامية,كانفنغ,1,1
خالد بن الوليد,كانفنغ,1,1
العروة الوثقى الإسلامية,كوتو كواري,1,1
مدرسة يونس صند يقي الإسلا مية  ,كولولي,1,1
عمر بن الخطاب ,لاتر كندا,1,1
عمر بن الخطاب,لاتر كندا,1,1
المعهد العربي والإنجلزي ,أبوكو,1,2
معهد الإسلامي العلمي ,بأبوكو,1,2
معهد بندن ماسان الإسلامي ,بندن,1,2
مؤسسة البر الإسلامية,بندن,1,2
معهد الحاج لالوكانتي,تبوكوتو,1,2
المعهد الإسلامي ,تلند كنجا,1,2
مدرسة نور الإسلامية,جوسوا جديد,1,2
معهد ابن عباس الإسلامي,جوسوا جديد,1,2
مدرسة ليبيا الإسلامية,سيراكندا,1,2
مركز التضامن الإسلامي,سير كندا,1,2
عبد الله بن سعود العسكر,فاجكند ,1,2
أهل الخير ,فاجكندا,1,2
عبد الرحمن ,فاجكندا,1,2
عنسندن كيتا,فاجكندا,1,2
مركز موسى بن نصير ,فاجكندا,1,2
مدرسة نور الدين الإسلامية,لاتر كندا,1,2
مدرسة عماد الدين الإسلامية,لاتركندا,1,2
مدرسة عقبة بن نافع الفهري,لوند كونا,1,2
