Center Number ,Center Name,Center Location ,Reagion ,Gread 6,Gread 9
AMR1\E/00043,الحاج أبوبكر  أ . م سيسى,باكوتي,1.1,2,21
AMR1\E/00038,عمّاربـــن ياسـر الإسلامية,باكوتي,1.1,6,
AMR1\E/00022,محمد الأمين جاسي,باكوتي,1.1,20,
AMR1\E/00023,التعاون الإسلامية ,بانجول,1.1,28,17
AMR1\E/00017,المدرسة الإسلامية العليا,بانجول,1.1,15,67
AMR1\E/00029,دار لأثار الإسلامية,با كوتي ,1.1,21,
AMR1\E/00009,معهدأبوبكرالصديق,باكاونيوتاون,1.1,63,24
AMR1\E/00047,طارق بن  زياد,بكاو,1.1,6,3
AMR1\E/00042,داود عبدالله انجاي ,بكاوماما كوتو,1.1,3,
AMR1\E/00046,الهدى الإسلامية ,بيبلان,1.1,5,
AMR1\E/00032,حجر الأسواد,جوسوا قديم,1.1,8,
AMR1\E/00033,بكو سنغاتي ,جوسوان جديد,1.1,24,
AMR1\E/00019,علي بن أبي طالب ,ديبا كندا,1.1,14,
AMR1\E/00011,محمد يدالي الإنجليزي/العربي,كانفع,1.1,49,23
,محمد بشير سيكان الإسلامية,جوسوان,1.1,19,
AMR1\E/00016,خالد بن الوليد,كانفيغ,1.1,47,45
AMR1\E/00026,عمربن عبد العزيز,منجاي,1.1,7,
AMR1\E/00010,معهد النور الإسلامي ,كانفنع,1.1,98,82
AMR1\E/00013,معهد عمر عبد العزيز,كانفنع,1.1,48,15
AMR1\E/00004,الإمام مالك الإسلامية,كانفنغ,1.1,98,83
AMR1\E/00021,العروة الوثقى الإسلامية,كوتو كواري,1.1,13,16
AMR1\E/00014,مدرسة يونس صند يقي الإسلا مية  ,كولولي,1.1,28,10
AMR1\E/00008,عمر بن الخطاب ,لاتر كندا,1.1,47,59
AMR1\E/00007,المعهد العربي والإنجلزي ,أبوكو,1.2,51,72
AMR1\E/00012,معهد الإسلامي العلمي ,بأبوكو,1.2,53,11
AMR1\E/00005,معهد بندن ماساني,بندن,1.2,88,81
AMR1\E/00031,مؤسسة البر الإسلامية,بندن,1.2,26,
AMR1\E/00006,معهد الحاج لالوكانتي,تبوكوتو,1.2,76,112
AMR1\E/00001,المعهد الإسلامي ,تلند كنجا,1.2,135,253
AMR1\E/00037,معهد ابن عباس الإسلامي,جوسوا جديد,1.2,6,17
AMR1\E/00027,نور الإسلام,جوسوان,1.2,3,
AMR1\E/00028,مدرسة ليبيا الإسلامية,سيرا كندا,1.2,10,6
AMR1\E/00035,أهل الخير ,فاجكندا,1.2,6,
AMR1\E/00040,عبد الرحمن ,فاجكندا,1.2,12,
AMR1\E/00039,عنسندن كيتا,فاجكندا,1.2,13,13
AMR1\E/00015,مركز موسى بن نصير ,فاجكندا,1.2,40,18
AMR1\E/00025,مدرسة عماد الدين الإسلامية,لاتركندا,1.2,19,
AMR1\E/00036,مدرسة عقبة بن نافع الفهري,لوند كونا,1.2,15,8
AMR1\E/00002,مركز التضامن الإسلامي,سير كندا,1.2,165,189
AMR1\E/00018,عبد الله بن سعود العسكر ,فاجكندا ,1.2,52,27
AMR1\E/00003,مدرسة نور الدين الإسلامية,لاتر كندا,1.2,105,61
AMR2\E/00093,خديجة سنتا (1),سوكتا سنجبا,2.1,21,
AMR2\E/00096,سلمان الفارسي,سوكتا,2.1,,
AMR2\E/00095,طالب تامبيدو,سوكتا ,2.1,12,8
AMR2\E/00043,عمر الإسلامية ,سوكتا,2.1,29,16
AMR2\E/00007,مدرسة البر الإسلامية,سنجو سوري,2.1,68,81
AMR2\E/00098,مدرسة أمتفت الإسلامية,"سنجوا باليا 
",2.1,14,
AMR2\E/00044,مدرسة كوري الإسلامي,سنجبا سلى جوب,2.1,36,16
AMR2\E/00103,مركز الضياء القرآني,كونكو جان كيتيا,2.1,27,10
AMR2\E/00004,معهد الشيخ مصطفى محمد لو الإسلامي,سنجو الحاج,2.1,40,86
AMR2\E/00094,معهد دار السلام الإسلامي,سوكتا,2.1,10,
AMR2\E/00045,معهد عرفالن سيسى,سوكتا نعمة,2.1,32,20
AMR2\E/00097,نور الصباح الإسلامية,سنجو الحاج,2.1,20,13
AMR2\E/00047,البخاري,كنكوجاكينيا,2.2,31,6
AMR2\E/00012,السلام للتعليم الأساسي,بنجولندنغ,2.2,49,22
AMR2\E/00100,المباركة ,لامن,2.2,12,8
AMR2\E/00015,إحياء علوم الدين,بوسمبالا,2.2,85,69
AMR2\E/00052,أبوهريرة,كباركو,2.2,22,20
AMR2\E/00110,أبى هريرة الإ سلامية,مندينار,2.2,11,6
AMR2\E/00111,بشير بن سعد,فاراتو,2.2,5,
AMR2\E/00014,جمال الدين الإسلامية,فارتو,2.2,86,44
AMR2\E/00118,خديجة  الإسلامية,مندينار,2.2,43,
AMR2\E/00107,دار الأرقم ابن أبي الأرقم,بوسمبالا,2.2,20,
AMR2\E/00049,عبدالله بن أبى قحافة,بوسمبالا,2.2,36,
AMR2\E/00048,عثمان بن عفان ,ولنغار,2.2,41,
AMR2\E/00009,فاطمة الزهراء,لامين,2.2,68,43
AMR2\E/00102,مدرسة ابي بن كعب,كنكوجا,2.2,16,
AMR2\E/00050,مدرسة حطاب بوجا الاسلامية,بوسمبالا,2.2,19,
AMR2\E/00121,مركز الإحسان  ,بابيلون,2.2,5,
AMR2\E/00010,مركز الخلفاء الراشدين,نعم كنكو,2.1,50,37
AMR2\E/00008,مصعب بن عمير,لامين,2.2,39,44
AMR2\E/00011,معهد الحاج ابراهيم نياس,نعم النذير,2.2,30,
AMR2\E/00016,معهد داود الإسلامي,قيروان,2.2,63,66
AMR2\E/00013,معهد طيبة الطيبة العلمي,فاراتو,2.2,60,
AMR2\E/00114,معهد غامبيا الإسلامي,بابيلون,2.2,20,
